Horizon,Acteur,Scénario,Score,Rang,Méthode
H50,ONG_Locales,Scénario 3 : Import H2 national/UE (type C),0.14732056773523425,3.0,TOPSIS
H50,Autorites,Scénario 1 : H2 100% Vendée (type A),0.6322885841641702,1.0,TOPSIS
H50,Autorites,Scénario 2 : H2 Vendée + import régional (type B),0.5879342004386616,2.0,TOPSIS
H50,Autorites,Scénario 3 : Import H2 national/UE (type C),0.36297734494155015,3.0,TOPSIS
H50,Scientifiques,Scénario 1 : H2 100% Vendée (type A),0.6291051630374193,1.0,TOPSIS
H50,Scientifiques,Scénario 2 : H2 Vendée + import régional (type B),0.6113543335418276,2.0,TOPSIS
H50,Scientifiques,Scénario 3 : Import H2 national/UE (type C),0.36602540378443865,3.0,TOPSIS
H100,Industriels_Finance,Scénario 1 : H2 100% Vendée (type A),0.5246598077839647,1.0,TOPSIS
H100,Industriels_Finance,Scénario 2 : H2 Vendée + import régional (type B),0.4977549675596243,2.0,TOPSIS
H100,Industriels_Finance,Scénario 3 : Import H2 national/UE (type C),0.4726456442788818,3.0,TOPSIS
H100,Collectivites,Scénario 1 : H2 100% Vendée (type A),0.6934481552278827,1.0,TOPSIS
H100,Collectivites,Scénario 2 : H2 Vendée + import régional (type B),0.6172054792420747,2.0,TOPSIS
H100,Collectivites,Scénario 3 : Import H2 national/UE (type C),0.3013496283140402,3.0,TOPSIS
H100,ONG_Locales,Scénario 1 : H2 100% Vendée (type A),0.8489989106845781,1.0,TOPSIS
H100,ONG_Locales,Scénario 2 : H2 Vendée + import régional (type B),0.5613173307644992,2.0,TOPSIS
H100,ONG_Locales,Scénario 3 : Import H2 national/UE (type C),0.14732056773523425,3.0,TOPSIS
H100,Autorites,Scénario 1 : H2 100% Vendée (type A),0.6310815274434001,1.0,TOPSIS
H100,Autorites,Scénario 2 : H2 Vendée + import régional (type B),0.587405992025207,2.0,TOPSIS
H100,Autorites,Scénario 3 : Import H2 national/UE (type C),0.36297734494155015,3.0,TOPSIS
H100,Scientifiques,Scénario 1 : H2 100% Vendée (type A),0.6278658007534008,1.0,TOPSIS
H100,Scientifiques,Scénario 2 : H2 Vendée + import régional (type B),0.6105306944863451,2.0,TOPSIS
H100,Scientifiques,Scénario 3 : Import H2 national/UE (type C),0.36602540378443865,3.0,TOPSIS
