Horizon,Acteur,Sim,Scénario_idx,Rang_sim,Base_rang
H1,Collectivites,8,3,3,3
H1,ONG_Locales,8,1,1,1
H1,ONG_Locales,8,2,2,2
H1,ONG_Locales,8,3,3,3
H1,Autorites,8,1,1,1
H1,Autorites,8,2,2,2
H1,Autorites,8,3,3,3
H1,Scientifiques,8,1,1,1
H1,Scientifiques,8,2,2,2
H1,Scientifiques,8,3,3,3
H1,Industriels_Finance,9,1,2,1
H1,Industriels_Finance,9,2,1,2
H1,Industriels_Finance,9,3,3,3
H1,Collectivites,9,1,1,1
H1,Collectivites,9,2,2,2
H1,Collectivites,9,3,3,3
H1,ONG_Locales,9,1,1,1
H1,ONG_Locales,9,2,2,2
H1,ONG_Locales,9,3,3,3
H1,Autorites,9,1,1,1
H1,Autorites,9,2,2,2
H1,Autorites,9,3,3,3
H1,Scientifiques,9,1,1,1
H1,Scientifiques,9,2,2,2
H1,Scientifiques,9,3,3,3
H1,Industriels_Finance,10,1,1,1
H1,Industriels_Finance,10,2,2,2
H1,Industriels_Finance,10,3,3,3
H1,Collectivites,10,1,1,1
H1,Collectivites,10,2,2,2
H1,Collectivites,10,3,3,3
H1,ONG_Locales,10,1,1,1
H1,ONG_Locales,10,2,2,2
H1,ONG_Locales,10,3,3,3
H1,Autorites,10,1,1,1
H1,Autorites,10,2,2,2
H1,Autorites,10,3,3,3
H1,Scientifiques,10,1,1,1
H1,Scientifiques,10,2,2,2
H1,Scientifiques,10,3,3,3
H1,Industriels_Finance,11,1,2,1
H1,Industriels_Finance,11,2,1,2
H1,Industriels_Finance,11,3,3,3
H1,Collectivites,11,1,1,1
H1,Collectivites,11,2,2,2
H1,Collectivites,11,3,3,3
H1,ONG_Locales,11,1,1,1
H1,ONG_Locales,11,2,2,2
H1,ONG_Locales,11,3,3,3
H1,Autorites,11,1,1,1
H1,Autorites,11,2,2,2
H1,Autorites,11,3,3,3
H1,Scientifiques,11,1,1,1
H1,Scientifiques,11,2,2,2
H1,Scientifiques,11,3,3,3
H1,Industriels_Finance,12,1,1,1
H1,Industriels_Finance,12,2,2,2
H1,Industriels_Finance,12,3,3,3
H1,Collectivites,12,1,1,1
H1,Collectivites,12,2,2,2
H1,Collectivites,12,3,3,3
H1,ONG_Locales,12,1,1,1
H1,ONG_Locales,12,2,2,2
H1,ONG_Locales,12,3,3,3
H1,Autorites,12,1,1,1
H1,Autorites,12,2,2,2
H1,Autorites,12,3,3,3
H1,Scientifiques,12,1,1,1
H1,Scientifiques,12,2,2,2
H1,Scientifiques,12,3,3,3
H1,Industriels_Finance,13,1,1,1
H1,Industriels_Finance,13,2,2,2
H1,Industriels_Finance,13,3,3,3
H1,Collectivites,13,1,1,1
H1,Collectivites,13,2,2,2
H1,Collectivites,13,3,3,3
H1,ONG_Locales,13,1,1,1
H1,ONG_Locales,13,2,2,2
H1,ONG_Locales,13,3,3,3
H1,Autorites,13,1,1,1
H1,Autorites,13,2,2,2
H1,Autorites,13,3,3,3
H1,Scientifiques,13,1,1,1
H1,Scientifiques,13,2,2,2
H1,Scientifiques,13,3,3,3
H1,Industriels_Finance,14,1,1,1
H1,Industriels_Finance,14,2,2,2
H1,Industriels_Finance,14,3,3,3
H1,Collectivites,14,1,1,1
H1,Collectivites,14,2,2,2
H1,Collectivites,14,3,3,3
H1,ONG_Locales,14,1,1,1
H1,ONG_Locales,14,2,2,2
H1,ONG_Locales,14,3,3,3
H1,Autorites,14,1,1,1
H1,Autorites,14,2,2,2
H1,Autorites,14,3,3,3
H1,Scientifiques,14,1,1,1
H1,Scientifiques,14,2,2,2
H1,Scientifiques,14,3,3,3
H1,Industriels_Finance,15,1,1,1
H1,Industriels_Finance,15,2,2,2
H1,Industriels_Finance,15,3,3,3
H1,Collectivites,15,1,1,1
H1,Collectivites,15,2,2,2
H1,Collectivites,15,3,3,3
H1,ONG_Locales,15,1,1,1
H1,ONG_Locales,15,2,2,2
H1,ONG_Locales,15,3,3,3
H1,Autorites,15,1,1,1
H1,Autorites,15,2,2,2
H1,Autorites,15,3,3,3
H1,Scientifiques,15,1,1,1
H1,Scientifiques,15,2,2,2
H1,Scientifiques,15,3,3,3
H1,Industriels_Finance,16,1,1,1
H1,Industriels_Finance,16,2,2,2
H1,Industriels_Finance,16,3,3,3
H1,Collectivites,16,1,1,1
H1,Collectivites,16,2,2,2
H1,Collectivites,16,3,3,3
H1,ONG_Locales,16,1,1,1
H1,ONG_Locales,16,2,2,2
H1,ONG_Locales,16,3,3,3
H1,Autorites,16,1,1,1
H1,Autorites,16,2,2,2
H1,Autorites,16,3,3,3
H1,Scientifiques,16,1,1,1
H1,Scientifiques,16,2,2,2
H1,Scientifiques,16,3,3,3
H1,Industriels_Finance,17,1,1,1
H1,Industriels_Finance,17,2,2,2
H1,Industriels_Finance,17,3,3,3
H1,Collectivites,17,1,1,1
H1,Collectivites,17,2,2,2
H1,Collectivites,17,3,3,3
H1,ONG_Locales,17,1,1,1
H1,ONG_Locales,17,2,2,2
H1,ONG_Locales,17,3,3,3
H1,Autorites,17,1,1,1
H1,Autorites,17,2,2,2
H1,Autorites,17,3,3,3
H1,Scientifiques,17,1,1,1
H1,Scientifiques,17,2,2,2
H1,Scientifiques,17,3,3,3
H1,Industriels_Finance,18,1,1,1
H1,Industriels_Finance,18,2,2,2
H1,Industriels_Finance,18,3,3,3
H1,Collectivites,18,1,1,1
H1,Collectivites,18,2,2,2
H1,Collectivites,18,3,3,3
H1,ONG_Locales,18,1,1,1
H1,ONG_Locales,18,2,2,2
H1,ONG_Locales,18,3,3,3
H1,Autorites,18,1,1,1
H1,Autorites,18,2,2,2
H1,Autorites,18,3,3,3
H1,Scientifiques,18,1,1,1
H1,Scientifiques,18,2,2,2
H1,Scientifiques,18,3,3,3
H1,Industriels_Finance,19,1,1,1
H1,Industriels_Finance,19,2,2,2
H1,Industriels_Finance,19,3,3,3
H1,Collectivites,19,1,1,1
H1,Collectivites,19,2,2,2
H1,Collectivites,19,3,3,3
H1,ONG_Locales,19,1,1,1
H1,ONG_Locales,19,2,2,2
H1,ONG_Locales,19,3,3,3
H1,Autorites,19,1,1,1
H1,Autorites,19,2,2,2
H1,Autorites,19,3,3,3
H1,Scientifiques,19,1,1,1
H1,Scientifiques,19,2,2,2
H1,Scientifiques,19,3,3,3
H1,Industriels_Finance,20,1,1,1
H1,Industriels_Finance,20,2,2,2
H1,Industriels_Finance,20,3,3,3
H1,Collectivites,20,1,1,1
H1,Collectivites,20,2,2,2
H1,Collectivites,20,3,3,3
H1,ONG_Locales,20,1,1,1
H1,ONG_Locales,20,2,2,2
H1,ONG_Locales,20,3,3,3
H1,Autorites,20,1,1,1
H1,Autorites,20,2,2,2
H1,Autorites,20,3,3,3
H1,Scientifiques,20,1,1,1
H1,Scientifiques,20,2,2,2
H1,Scientifiques,20,3,3,3
H1,Industriels_Finance,21,1,2,1
H1,Industriels_Finance,21,2,1,2
H1,Industriels_Finance,21,3,3,3
H1,Collectivites,21,1,1,1
H1,Collectivites,21,2,2,2
H1,Collectivites,21,3,3,3
H1,ONG_Locales,21,1,1,1
H1,ONG_Locales,21,2,2,2
H1,ONG_Locales,21,3,3,3
H1,Autorites,21,1,1,1
H1,Autorites,21,2,2,2
H1,Autorites,21,3,3,3
H1,Scientifiques,21,1,1,1
H1,Scientifiques,21,2,2,2
H1,Scientifiques,21,3,3,3
H1,Industriels_Finance,22,1,2,1
H1,Industriels_Finance,22,2,1,2
H1,Industriels_Finance,22,3,3,3
H1,Collectivites,22,1,1,1
H1,Collectivites,22,2,2,2
H1,Collectivites,22,3,3,3
H1,ONG_Locales,22,1,1,1
H1,ONG_Locales,22,2,2,2
H1,ONG_Locales,22,3,3,3
H1,Autorites,22,1,1,1
H1,Autorites,22,2,2,2
H1,Autorites,22,3,3,3
H1,Scientifiques,22,1,1,1
H1,Scientifiques,22,2,2,2
H1,Scientifiques,22,3,3,3
H1,Industriels_Finance,23,1,2,1
H1,Industriels_Finance,23,2,1,2
H1,Industriels_Finance,23,3,3,3
H1,Collectivites,23,1,1,1
H1,Collectivites,23,2,2,2
H1,Collectivites,23,3,3,3
H1,ONG_Locales,23,1,1,1
H1,ONG_Locales,23,2,2,2
H1,ONG_Locales,23,3,3,3
H1,Autorites,23,1,1,1
H1,Autorites,23,2,2,2
H1,Autorites,23,3,3,3
H1,Scientifiques,23,1,1,1
H1,Scientifiques,23,2,2,2
H1,Scientifiques,23,3,3,3
H1,Industriels_Finance,24,1,1,1
H1,Industriels_Finance,24,2,2,2
H1,Industriels_Finance,24,3,3,3
H1,Collectivites,24,1,1,1
H1,Collectivites,24,2,2,2
H1,Collectivites,24,3,3,3
H1,ONG_Locales,24,1,1,1
H1,ONG_Locales,24,2,2,2
H1,ONG_Locales,24,3,3,3
H1,Autorites,24,1,1,1
H1,Autorites,24,2,2,2
H1,Autorites,24,3,3,3
H1,Scientifiques,24,1,1,1
H1,Scientifiques,24,2,2,2
H1,Scientifiques,24,3,3,3
H1,Industriels_Finance,25,1,1,1
H1,Industriels_Finance,25,2,2,2
H1,Industriels_Finance,25,3,3,3
H1,Collectivites,25,1,1,1
H1,Collectivites,25,2,2,2
H1,Collectivites,25,3,3,3
H1,ONG_Locales,25,1,1,1
H1,ONG_Locales,25,2,2,2
H1,ONG_Locales,25,3,3,3
H1,Autorites,25,1,1,1
H1,Autorites,25,2,2,2
H1,Autorites,25,3,3,3
H1,Scientifiques,25,1,1,1
H1,Scientifiques,25,2,2,2
H1,Scientifiques,25,3,3,3
H1,Industriels_Finance,26,1,1,1
H1,Industriels_Finance,26,2,2,2
H1,Industriels_Finance,26,3,3,3
H1,Collectivites,26,1,1,1
H1,Collectivites,26,2,2,2
H1,Collectivites,26,3,3,3
H1,ONG_Locales,26,1,1,1
H1,ONG_Locales,26,2,2,2
H1,ONG_Locales,26,3,3,3
H1,Autorites,26,1,1,1
H1,Autorites,26,2,2,2
H1,Autorites,26,3,3,3
H1,Scientifiques,26,1,1,1
H1,Scientifiques,26,2,2,2
H1,Scientifiques,26,3,3,3
H1,Industriels_Finance,27,1,1,1
H1,Industriels_Finance,27,2,2,2
H1,Industriels_Finance,27,3,3,3
H1,Collectivites,27,1,1,1
H1,Collectivites,27,2,2,2
H1,Collectivites,27,3,3,3
H1,ONG_Locales,27,1,1,1
H1,ONG_Locales,27,2,2,2
H1,ONG_Locales,27,3,3,3
H1,Autorites,27,1,1,1
H1,Autorites,27,2,2,2
H1,Autorites,27,3,3,3
H1,Scientifiques,27,1,1,1
H1,Scientifiques,27,2,2,2
H1,Scientifiques,27,3,3,3
H1,Industriels_Finance,28,1,1,1
H1,Industriels_Finance,28,2,2,2
H1,Industriels_Finance,28,3,3,3
H1,Collectivites,28,1,1,1
H1,Collectivites,28,2,2,2
H1,Collectivites,28,3,3,3
H1,ONG_Locales,28,1,1,1
H1,ONG_Locales,28,2,2,2
H1,ONG_Locales,28,3,3,3
H1,Autorites,28,1,1,1
H1,Autorites,28,2,2,2
H1,Autorites,28,3,3,3
H1,Scientifiques,28,1,1,1
H1,Scientifiques,28,2,2,2
H1,Scientifiques,28,3,3,3
H1,Industriels_Finance,29,1,1,1
H1,Industriels_Finance,29,2,2,2
H1,Industriels_Finance,29,3,3,3
H1,Collectivites,29,1,1,1
H1,Collectivites,29,2,2,2
H1,Collectivites,29,3,3,3
H1,ONG_Locales,29,1,1,1
H1,ONG_Locales,29,2,2,2
H1,ONG_Locales,29,3,3,3
H1,Autorites,29,1,1,1
H1,Autorites,29,2,2,2
H1,Autorites,29,3,3,3
H1,Scientifiques,29,1,1,1
H1,Scientifiques,29,2,2,2
H1,Scientifiques,29,3,3,3
H1,Industriels_Finance,30,1,1,1
H1,Industriels_Finance,30,2,2,2
H1,Industriels_Finance,30,3,3,3
H1,Collectivites,30,1,1,1
H1,Collectivites,30,2,2,2
H1,Collectivites,30,3,3,3
H1,ONG_Locales,30,1,1,1
H1,ONG_Locales,30,2,2,2
H1,ONG_Locales,30,3,3,3
H1,Autorites,30,1,1,1
H1,Autorites,30,2,2,2
H1,Autorites,30,3,3,3
H1,Scientifiques,30,1,1,1
H1,Scientifiques,30,2,2,2
H1,Scientifiques,30,3,3,3
H1,Industriels_Finance,31,1,1,1
H1,Industriels_Finance,31,2,2,2
H1,Industriels_Finance,31,3,3,3
H1,Collectivites,31,1,1,1
H1,Collectivites,31,2,2,2
H1,Collectivites,31,3,3,3
H1,ONG_Locales,31,1,1,1
H1,ONG_Locales,31,2,2,2
H1,ONG_Locales,31,3,3,3
H1,Autorites,31,1,1,1
H1,Autorites,31,2,2,2
H1,Autorites,31,3,3,3
H1,Scientifiques,31,1,1,1
H1,Scientifiques,31,2,2,2
H1,Scientifiques,31,3,3,3
H1,Industriels_Finance,32,1,1,1
H1,Industriels_Finance,32,2,2,2
H1,Industriels_Finance,32,3,3,3
H1,Collectivites,32,1,1,1
H1,Collectivites,32,2,2,2
H1,Collectivites,32,3,3,3
H1,ONG_Locales,32,1,1,1
H1,ONG_Locales,32,2,2,2
H1,ONG_Locales,32,3,3,3
H1,Autorites,32,1,1,1
H1,Autorites,32,2,2,2
H1,Autorites,32,3,3,3
H1,Scientifiques,32,1,1,1
H1,Scientifiques,32,2,2,2
H1,Scientifiques,32,3,3,3
H1,Industriels_Finance,33,1,1,1
H1,Industriels_Finance,33,2,2,2
H1,Industriels_Finance,33,3,3,3
H1,Collectivites,33,1,1,1
H1,Collectivites,33,2,2,2
H1,Collectivites,33,3,3,3
H1,ONG_Locales,33,1,1,1
H1,ONG_Locales,33,2,2,2
H1,ONG_Locales,33,3,3,3
H1,Autorites,33,1,1,1
H1,Autorites,33,2,2,2
H1,Autorites,33,3,3,3
H1,Scientifiques,33,1,1,1
H1,Scientifiques,33,2,2,2
H1,Scientifiques,33,3,3,3
H1,Industriels_Finance,34,1,2,1
H1,Industriels_Finance,34,2,1,2
H1,Industriels_Finance,34,3,3,3
H1,Collectivites,34,1,1,1
H1,Collectivites,34,2,2,2
H1,Collectivites,34,3,3,3
H1,ONG_Locales,34,1,1,1
H1,ONG_Locales,34,2,2,2
H1,ONG_Locales,34,3,3,3
H1,Autorites,34,1,1,1
H1,Autorites,34,2,2,2
H1,Autorites,34,3,3,3
H1,Scientifiques,34,1,1,1
H1,Scientifiques,34,2,2,2
H1,Scientifiques,34,3,3,3
H1,Industriels_Finance,35,1,1,1
H1,Industriels_Finance,35,2,2,2
H1,Industriels_Finance,35,3,3,3
H1,Collectivites,35,1,1,1
H1,Collectivites,35,2,2,2
H1,Collectivites,35,3,3,3
H1,ONG_Locales,35,1,1,1
H1,ONG_Locales,35,2,2,2
H1,ONG_Locales,35,3,3,3
H1,Autorites,35,1,1,1
H1,Autorites,35,2,2,2
H1,Autorites,35,3,3,3
H1,Scientifiques,35,1,1,1
H1,Scientifiques,35,2,2,2
H1,Scientifiques,35,3,3,3
H1,Industriels_Finance,36,1,2,1
H1,Industriels_Finance,36,2,1,2
H1,Industriels_Finance,36,3,3,3
H1,Collectivites,36,1,1,1
H1,Collectivites,36,2,2,2
H1,Collectivites,36,3,3,3
H1,ONG_Locales,36,1,1,1
H1,ONG_Locales,36,2,2,2
H1,ONG_Locales,36,3,3,3
H1,Autorites,36,1,1,1
H1,Autorites,36,2,2,2
H1,Autorites,36,3,3,3
H1,Scientifiques,36,1,1,1
H1,Scientifiques,36,2,2,2
H1,Scientifiques,36,3,3,3
H1,Industriels_Finance,37,1,1,1
H1,Industriels_Finance,37,2,2,2
H1,Industriels_Finance,37,3,3,3
H1,Collectivites,37,1,1,1
H1,Collectivites,37,2,2,2
H1,Collectivites,37,3,3,3
H1,ONG_Locales,37,1,1,1
H1,ONG_Locales,37,2,2,2
H1,ONG_Locales,37,3,3,3
H1,Autorites,37,1,1,1
H1,Autorites,37,2,2,2
H1,Autorites,37,3,3,3
H1,Scientifiques,37,1,1,1
H1,Scientifiques,37,2,2,2
H1,Scientifiques,37,3,3,3
H1,Industriels_Finance,38,1,1,1
H1,Industriels_Finance,38,2,2,2
H1,Industriels_Finance,38,3,3,3
H1,Collectivites,38,1,1,1
H1,Collectivites,38,2,2,2
H1,Collectivites,38,3,3,3
H1,ONG_Locales,38,1,1,1
H1,ONG_Locales,38,2,2,2
H1,ONG_Locales,38,3,3,3
H1,Autorites,38,1,1,1
H1,Autorites,38,2,2,2
H1,Autorites,38,3,3,3
H1,Scientifiques,38,1,1,1
H1,Scientifiques,38,2,2,2
H1,Scientifiques,38,3,3,3
H1,Industriels_Finance,39,1,1,1
H1,Industriels_Finance,39,2,2,2
H1,Industriels_Finance,39,3,3,3
H1,Collectivites,39,1,1,1
H1,Collectivites,39,2,2,2
H1,Collectivites,39,3,3,3
H1,ONG_Locales,39,1,1,1
H1,ONG_Locales,39,2,2,2
H1,ONG_Locales,39,3,3,3
H1,Autorites,39,1,1,1
H1,Autorites,39,2,2,2
H1,Autorites,39,3,3,3
H1,Scientifiques,39,1,1,1
H1,Scientifiques,39,2,2,2
H1,Scientifiques,39,3,3,3
H1,Industriels_Finance,40,1,2,1
H1,Industriels_Finance,40,2,1,2
H1,Industriels_Finance,40,3,3,3
H1,Collectivites,40,1,1,1
H1,Collectivites,40,2,2,2
H1,Collectivites,40,3,3,3
H1,ONG_Locales,40,1,1,1
H1,ONG_Locales,40,2,2,2
H1,ONG_Locales,40,3,3,3
H1,Autorites,40,1,1,1
H1,Autorites,40,2,2,2
H1,Autorites,40,3,3,3
H1,Scientifiques,40,1,1,1
H1,Scientifiques,40,2,2,2
H1,Scientifiques,40,3,3,3
H1,Industriels_Finance,41,1,1,1
H1,Industriels_Finance,41,2,2,2
H1,Industriels_Finance,41,3,3,3
H1,Collectivites,41,1,1,1
H1,Collectivites,41,2,2,2
H1,Collectivites,41,3,3,3
H1,ONG_Locales,41,1,1,1
H1,ONG_Locales,41,2,2,2
H1,ONG_Locales,41,3,3,3
H1,Autorites,41,1,1,1
H1,Autorites,41,2,2,2
H1,Autorites,41,3,3,3
H1,Scientifiques,41,1,1,1
H1,Scientifiques,41,2,2,2
H1,Scientifiques,41,3,3,3
H1,Industriels_Finance,42,1,1,1
H1,Industriels_Finance,42,2,2,2
H1,Industriels_Finance,42,3,3,3
H1,Collectivites,42,1,1,1
H1,Collectivites,42,2,2,2
H1,Collectivites,42,3,3,3
H1,ONG_Locales,42,1,1,1
H1,ONG_Locales,42,2,2,2
H1,ONG_Locales,42,3,3,3
H1,Autorites,42,1,1,1
H1,Autorites,42,2,2,2
H1,Autorites,42,3,3,3
H1,Scientifiques,42,1,1,1
H1,Scientifiques,42,2,2,2
H1,Scientifiques,42,3,3,3
H1,Industriels_Finance,43,1,1,1
H1,Industriels_Finance,43,2,2,2
H1,Industriels_Finance,43,3,3,3
H1,Collectivites,43,1,1,1
H1,Collectivites,43,2,2,2
H1,Collectivites,43,3,3,3
H1,ONG_Locales,43,1,1,1
H1,ONG_Locales,43,2,2,2
H1,ONG_Locales,43,3,3,3
H1,Autorites,43,1,1,1
H1,Autorites,43,2,2,2
H1,Autorites,43,3,3,3
H1,Scientifiques,43,1,1,1
H1,Scientifiques,43,2,2,2
H1,Scientifiques,43,3,3,3
H1,Industriels_Finance,44,1,2,1
H1,Industriels_Finance,44,2,1,2
H1,Industriels_Finance,44,3,3,3
H1,Collectivites,44,1,1,1
H1,Collectivites,44,2,2,2
H1,Collectivites,44,3,3,3
H1,ONG_Locales,44,1,1,1
H1,ONG_Locales,44,2,2,2
H1,ONG_Locales,44,3,3,3
H1,Autorites,44,1,1,1
H1,Autorites,44,2,2,2
H1,Autorites,44,3,3,3
H1,Scientifiques,44,1,1,1
H1,Scientifiques,44,2,2,2
H1,Scientifiques,44,3,3,3
H1,Industriels_Finance,45,1,1,1
H1,Industriels_Finance,45,2,2,2
H1,Industriels_Finance,45,3,3,3
H1,Collectivites,45,1,1,1
H1,Collectivites,45,2,2,2
H1,Collectivites,45,3,3,3
H1,ONG_Locales,45,1,1,1
H1,ONG_Locales,45,2,2,2
H1,ONG_Locales,45,3,3,3
H1,Autorites,45,1,1,1
H1,Autorites,45,2,2,2
H1,Autorites,45,3,3,3
H1,Scientifiques,45,1,1,1
H1,Scientifiques,45,2,2,2
H1,Scientifiques,45,3,3,3
H1,Industriels_Finance,46,1,2,1
H1,Industriels_Finance,46,2,1,2
H1,Industriels_Finance,46,3,3,3
H1,Collectivites,46,1,1,1
H1,Collectivites,46,2,2,2
H1,Collectivites,46,3,3,3
H1,ONG_Locales,46,1,1,1
H1,ONG_Locales,46,2,2,2
H1,ONG_Locales,46,3,3,3
H1,Autorites,46,1,1,1
H1,Autorites,46,2,2,2
H1,Autorites,46,3,3,3
H1,Scientifiques,46,1,1,1
H1,Scientifiques,46,2,2,2
H1,Scientifiques,46,3,3,3
H1,Industriels_Finance,47,1,1,1
H1,Industriels_Finance,47,2,2,2
H1,Industriels_Finance,47,3,3,3
H1,Collectivites,47,1,1,1
H1,Collectivites,47,2,2,2
H1,Collectivites,47,3,3,3
H1,ONG_Locales,47,1,1,1
H1,ONG_Locales,47,2,2,2
H1,ONG_Locales,47,3,3,3
H1,Autorites,47,1,1,1
H1,Autorites,47,2,2,2
H1,Autorites,47,3,3,3
H1,Scientifiques,47,1,1,1
H1,Scientifiques,47,2,2,2
H1,Scientifiques,47,3,3,3
H1,Industriels_Finance,48,1,1,1
H1,Industriels_Finance,48,2,2,2
H1,Industriels_Finance,48,3,3,3
H1,Collectivites,48,1,1,1
H1,Collectivites,48,2,2,2
H1,Collectivites,48,3,3,3
H1,ONG_Locales,48,1,1,1
H1,ONG_Locales,48,2,2,2
H1,ONG_Locales,48,3,3,3
H1,Autorites,48,1,1,1
H1,Autorites,48,2,2,2
H1,Autorites,48,3,3,3
H1,Scientifiques,48,1,1,1
H1,Scientifiques,48,2,2,2
H1,Scientifiques,48,3,3,3
H1,Industriels_Finance,49,1,1,1
H1,Industriels_Finance,49,2,2,2
H1,Industriels_Finance,49,3,3,3
H1,Collectivites,49,1,1,1
H1,Collectivites,49,2,2,2
H1,Collectivites,49,3,3,3
H1,ONG_Locales,49,1,1,1
H1,ONG_Locales,49,2,2,2
H1,ONG_Locales,49,3,3,3
H1,Autorites,49,1,1,1
H1,Autorites,49,2,2,2
H1,Autorites,49,3,3,3
H1,Scientifiques,49,1,1,1
H1,Scientifiques,49,2,2,2
H1,Scientifiques,49,3,3,3
H1,Industriels_Finance,50,1,2,1
H1,Industriels_Finance,50,2,1,2
H1,Industriels_Finance,50,3,3,3
H1,Collectivites,50,1,1,1
H1,Collectivites,50,2,2,2
H1,Collectivites,50,3,3,3
H1,ONG_Locales,50,1,1,1
H1,ONG_Locales,50,2,2,2
H1,ONG_Locales,50,3,3,3
H1,Autorites,50,1,1,1
H1,Autorites,50,2,2,2
H1,Autorites,50,3,3,3
H1,Scientifiques,50,1,1,1
H1,Scientifiques,50,2,2,2
H1,Scientifiques,50,3,3,3
H1,Industriels_Finance,51,1,1,1
H1,Industriels_Finance,51,2,2,2
H1,Industriels_Finance,51,3,3,3
H1,Collectivites,51,1,1,1
H1,Collectivites,51,2,2,2
H1,Collectivites,51,3,3,3
H1,ONG_Locales,51,1,1,1
H1,ONG_Locales,51,2,2,2
